Key,English [en-GB]
TUTORIAL_2_HELP_018_2,Click Yes to <b>continue</b>
TUTORIAL_2_HELP_020,Select Provoking Roar
TUTORIAL_2_HELP_021_1,Select Trample
TUTORIAL_2_HELP_021_2,Click End Selection to continue
TUTORIAL_2_HELP_023_1,Select the top half of Trample
TUTORIAL_2_HELP_023_2,Select the Bandit Guard as the target for the attack
TUTORIAL_2_HELP_023_3,"Either click the Bandit Guard again to confirm the attack, or click the Confirm Targets button"
TUTORIAL_2_HELP_024_1,Click the Default Move button on Provoking Roar
TUTORIAL_2_HELP_024_2,Select the highlighted hex containing the Gold Pile
TUTORIAL_2_HELP_024_3,"Either click the hex again to confirm the move, or click the Confirm Movement button"
TUTORIAL_2_HELP_024_4,Skip the remaining movement
TUTORIAL_2_HELP_024_5,Click End Turn to continue
TUTORIAL_2_TEXT_001,"So, you want to learn how to run your own mercenary guild, eh? Well, let’s begin some basic training - there’s no one better than the Brute to help with that!"
TUTORIAL_2_TEXT_002_1,"Before we get to the action, you’ll want to acquaint yourself with how to adjust your view of the battlefield, so let’s go over the camera controls:"
TUTORIAL_2_TEXT_002_2,"<b>W A S D</b><color=#CCCCCC> - Pan camera</color>
<line-height=20%>
<line-height=100%><b>Q E</b><color=#CCCCCC> - Rotate camera left/right</color>
<line-height=20%>
<line-height=100%><b>+/- or Mousewheel Up/Down</b><color=#CCCCCC> - Zoom camera in/out

You can also rotate the camera by dragging your mouse with the middle mouse button held.</color>

</color>Try them out now and press Continue when you're ready to move on."
TUTORIAL_2_TEXT_003,"In <color=#f5e3b0><b>Gloomhaven</b></color>, you control a party of mercenaries, each equipped with a deck of <b>Ability Cards</b>. These cards are how your mercenaries will explore dungeons, fight enemies and loot treasure.

At the beginning of each round, the first thing to do is select two cards for each mercenary to use on their turn."
TUTORIAL_2_TEXT_004,"In this tutorial, the Brute has just three cards at his disposal, as you can see highlighted on the left: <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr>, <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Trample</color></font></b></nobr> and <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr>.

<nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr> is greyed to indicate that it is currently discarded, so for now let's just select the two cards the Brute has available."
TUTORIAL_2_TEXT_005,"See the number next to the Brute's portrait at the top of the screen? This shows his <b>initiative</b>. 

The number next to first card you select determines the character's <b>initiative</b> for the round. The lower the number, the earlier in the round the character will act."
TUTORIAL_2_TEXT_006,"Since there are no other characters visible right now, it will immediately be the Brute's turn anyhow."
TUTORIAL_2_TEXT_007_1,"Now it is the Brute's turn, time to choose some <b>actions</b>. Each half of a card represents an <b>action</b>, comprised of one or more <b>abilities</b>."
TUTORIAL_2_TEXT_007_2,"You get to use two <b>actions</b> per turn, and you can pick any of the four card halves on the left to use as your first <b>action</b> - but note that you must then use the opposite side of the other card for your second."
TUTORIAL_2_TEXT_007_3,"For example, here you can choose either the top half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Trample</color></font></b></nobr> and the bottom half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr>..."
TUTORIAL_2_TEXT_007_4,...or the bottom half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Trample</color></font></b></nobr> and the top half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr>.
TUTORIAL_2_TEXT_007_5,"There's nothing for the Brute to do in this room, so you'll want to proceed through the door to see what lies beyond with a <b>Move</b> ability. 

<nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b>'s</nobr> bottom half lets the Brute move four hexes, which is enough to get through the door. Let's use that!"
TUTORIAL_2_TEXT_010,"This room contains your first enemy, a Bandit Guard! Like player characters, monsters also select actions for their turn - let's find out what this Bandit is planning to do before we do anything else."
TUTORIAL_2_TEXT_011_1,"Looks like the Bandit is planning to <b>Move</b> and <b>Attack</b> this round, unless the Brute can kill him first!

While player characters get two <b>actions</b> per turn, monsters only get one - albeit often with multiple <b>abilities</b> within."
TUTORIAL_2_TEXT_011_2,"Notice how this Bandit has a lower <b>initiative</b> than the Brute, and would normally have gone first. 

As it is currently the Brute’s turn however, you'll get to finish his turn before the Bandit can act. "
TUTORIAL_2_TEXT_011_3,Let's get the Brute close enough to use the <b>Attack</b> on <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Trample</color></font></b>'s</nobr> top half as the second action for the turn!
TUTORIAL_2_TEXT_012,"Now that you've finished using <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> for the turn, it is <b>discarded</b> and no longer usable until you return it to hand via resting - more on that later.

For now, time to attack!"
TUTORIAL_2_TEXT_015_1,"Every attack you make draws an attack modifier from your modifier deck and that value is applied to your attack.

In this case you can see above the Bandit Guard that a <b><color=#FFA414>+0</color></b> modifier was drawn, so your attack still just deals its base value of <b>3</b> damage."
TUTORIAL_2_TEXT_015_2,"For this tutorial, we will only have <b><color=#FFA414>+0</color></b> modifiers in effect to keep things simple. We'll explore the other attack modifiers later!"
TUTORIAL_2_TEXT_016_1,"Now it is the Bandit’s turn. As we saw on his card earlier, he intends to <b>Move</b> and then perform a melee <b>Attack</b> for 3 damage. 

However, as he is already within melee range of the Brute, he will simply forgo the <b>Move</b> and get straight to the <b>Attack</b>."
TUTORIAL_2_TEXT_016_2,"Ouch! While monsters always take damage directly to their health points, whenever a player character is damaged, you are presented with three options:"
TUTORIAL_2_TEXT_016_3,"Firstly, you can simply take the damage to your health point total. However, if this is reduced to 0, this character is <b>exhausted</b>, which means they can no longer act in this scenario.

If all of your mercenaries are <b>exhausted</b>, you will lose the scenario!"
TUTORIAL_2_TEXT_016_4,"Secondly, you can choose to <b>burn</b> two discarded ability cards instead of receiving the damage. If you <b>burn</b> a card it can no longer be recovered by resting. "
TUTORIAL_2_TEXT_016_5,"However, if you were to <b>burn</b> two of Brute's cards here, he would not have enough cards left for the following turn, and thus would be <b>exhausted</b>!"
TUTORIAL_2_TEXT_016_6,"Finally, you can choose to <b>burn</b> one <b>available</b> card. This option is greyed out as all of the Brute's cards are currently <b>discarded</b>."
TUTORIAL_2_TEXT_016_7,"It is usually wise to take the damage over burning cards if possible, lest you run out of cards to finish the scenario with!

For now, let's opt to just take the three damage, as the Brute has enough health to survive."
TUTORIAL_2_TEXT_017,"The Bandit’s turn is now over. As he was the last character to act, it is the end of the round, and a new round begins."
TUTORIAL_2_TEXT_018_1,"During ability card selection, if you have at least two discarded cards then you may perform a <b>Long</b> or <b>Short Rest</b> to recover some of them.

All of the Brute's ability cards are currently discarded (<b>Long Rest</b> doesn't count as a card) and as such he will have to rest to continue."
TUTORIAL_2_TEXT_018_2,"<b>Short Rest</b> will burn one of your discarded cards at random, losing it for the rest of the scenario, but will recover all other discarded cards before continuing your turn as normal - so you can recover cards to use immediately in this very turn."
TUTORIAL_2_TEXT_018_3,"<b>Long Rest</b> takes up the whole turn, and is used instead of selecting two ability cards, giving the character an initiative of <b>99</b>. However, you not only get to choose which card to burn instead of it being at random, but the character will perform a ""<b>Heal 2</b>"" action and refresh all item cards!"
TUTORIAL_2_TEXT_018_4,"Choosing to <b>Long Rest</b> here would be certain death if the Bandit draws an attack card for the round, as the Brute has neither health nor cards to spare, so let's choose to <b>Short Rest</b>."
TUTORIAL_2_TEXT_019,"<nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> has been randomly selected as the card to burn.

Once per short rest you can opt to redraw the random card to burn at the cost of one damage, but with the Brute only on 1 health, this isn’t an option!"
TUTORIAL_2_TEXT_020_1,You can see <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> is now dark red to indicate it is burned and no longer usable in the current scenario.
TUTORIAL_2_TEXT_020_2,"In exchange, <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Trample</color></font></b></nobr> and <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr> have been returned to hand and are available to use again!"
TUTORIAL_2_TEXT_020_3,"Both the Brute and the Bandit are near-death, so it is crucial to go as early as possible in the round to get the first attack!

Remember, the first card you choose determines the Brute’s initiative, so let's choose <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr> to maximise the chance Brute is up first with a low initiative of <b>10</b>."
TUTORIAL_2_TEXT_022_1,"Now that we are in the same room as the Bandit, we can see that enemies draw their ability cards each round after the player(s), so you won't know what they'll be doing or what their initiatives will be until this point in each round."
TUTORIAL_2_TEXT_022_2,"It looks as if this guy was planning on shielding himself and retaliating, but because you chose to act quickly with an initiative of <b>10</b>, he won't have those active until after the Brute's turn due to a slower initiative of <b>15</b>! Let's get him!"
TUTORIAL_2_TEXT_024_1,"Got him! Do you see that gold on the floor that the Bandit left behind? To pick it up, you need to use a <b>Loot</b> ability. 

One important rule of <color=#f5e3b0><b>Gloomhaven</b></color> to bear in mind is that you don’t automatically loot treasure - if you want it, you'll have to pick it up before the scenario ends!"
TUTORIAL_2_TEXT_024_2,"<b>Loot</b> abilities can appear on ability cards, but often the easiest way to collect it is to end your turn on a hex that contains a gold pile.

So, let's move the Brute onto the gold before the end of his turn with his remaining action!"
TUTORIAL_2_TEXT_024_3,"But, wait... look at <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr>.

It doesn't have a <b>Move</b> ability on the bottom half's action, so how can the Brute <b>Move</b> onto the gold?"
TUTORIAL_2_TEXT_024_4,"This is where <b>default actions</b> come in handy! To the left and right of the central initiative value are two small <b>default action</b> buttons.

These allow the character to perform a melee <b>Attack</b> for <b>2</b> instead of the top action or a default <b>Move</b> of <b>2</b> instead of the bottom action."
TUTORIAL_2_TEXT_025_1,"Great work! Not only did you vanquish the, err... lone Bandit Guard, you’ve even managed to pick up a few pieces of gold!"
TUTORIAL_2_TEXT_025_2,"That’s the basics covered, time to introduce you to some slightly more dangerous scenarios..."
TalonCamp,Talon Camp
Target,Target
Target_AllAdjacentAllies,Target all adjacent allies.
Target_AllAdjacentEnemies,Target all adjacent enemies
Target_AllAlliesWithinRange,Target all allies within range
Target_AllEnemiesAtExactlyRange,Target all enemies at exactly Range
Target_AllEnemiesMovedThrough,Target all enemies moved through
Target_AllEnemiesWithin,Target all enemies within
Target_AllEnemiesWithinRange,Target all enemies within range
Target_OneAdjacentEnemy,Target one adjacent enemy
Target_OneEnemyWithAllAttacks,Target one enemy with all attacks
Target_SelfAndAllAlliesWithinRange,Target self and all allies within range
Target_TwoHexInstead,Target all enemies up to two hexes away instead
TatteredWolf,Tattered Wolf
Teleport,Teleport
TempleOfTheAcorn,Temple of the Acorn
TheAltarofBones,The Altar of Bones
TheArmoury,The Armoury
TheAshenbondRetreat,The Ashenbond Retreat
TheBarrenCoast,The Barren Coast
TheBarrenCoast_DESCR,"A long section of coastline north of Sahmyrt with no visible life of any kind. Take a rest, enjoy the view, and move on."
TheBetrayer,The Betrayer
TheBlackTomb,The Black Tomb
TheBloodwatchBurrow,The Bloodwatch Burrow
TheCityofSlate,The City of Slate
TheCityofSlate_DESCR,"This area is a city in name only, a desolate place, with the remnants of a once great metropolis scattered to the winds."
TheColorless,The Colorless
TheConjuredCoppice,The Conjured Coppice
TheCopperOasis,The Copper Oasis
TheCopperOasis_DESCR,"In the centre of the desolate waste of Stormbrew sits the Copper Oasis, run by a small community of Tinkerers. They sell a wide variety of items found out in the sands."
TheDeadlands,The Deadlands
TheDeadlands_DESCR,"Once the site of a epic battle, the Deadlands is now silent. Bone fragments are still visible poking up through the soil, and at night the dead are said to roam the land."
TheDepthsofDespair,The Depths of Despair
TheDome,The Dome
TheEerieGlade,The Eerie Glade
TheEnclave,The Enclave
TheGloom,The Gloom
TheHermitage,The Hermitage
TheHiddenGarrison,The Hidden Garrison
TheHole,The Hole
TheHole_DESCR,"This opening in the cliff face seems safe enough, but at the rear of the cave is a deep, perfectly circular hole. Scraping noises can be heard from deep below, if you are sleeping here, best keep a watch."
TheMarches,The Marches
TheMarches_DESCR,"This wild rugged land covers the area north of Demonsgate and is characterised by wide open plains and hillsides. Hidden bogs have been known to claim a careless traveller, so watch your step."
TheMournlightHideout,The Mournlight Hideout
TheNecropolis,The Necropolis
TheOssuary,The Ossuary
ThePutridPit,The Putrid Pit
ThePyre,The Pyre
TheSecludedBarracks,The Secluded Barracks
TheShiftingSands,The Shifting Sands
TheShiftingSands_DESCR,"A hot wind blows across the dunes, take care not to get lost as the landscape can often change overnight"
TheShimmeringShallows,The Shimmering Shallows
TheShimmeringShallows_DESCR,The water near the coast appears to shimmer as if piles of jewels lie below the surface. Many an unwary fool has been dragged down by strong currents and dashed upon the glowing coral below.
TheShootingGallery,The Shooting Gallery
TheSightlessEye,The Sightless Eye
TheSloshedSquirrel,The Sloshed Squirrel
TheThorngate,The Thorngate
TheThorngate_DESCR,This area of the western edge of the forest gained the name Thorngate as the trees almost welcome the travellers into their cover. It is a peaceful part of the world.
TheTwilightChambers,The Twilight Chambers
TheValeofFangs,The Vale of Fangs
TheVeiledCamp,The Veiled Camp
TheWickedWilds,The Wicked Wilds
ThornShooter,Thorn Shooter
Tinkerer,Tinkerer
Tinkerer_ADVENTURE_DESCRIPTION,"Tinkerers are Quatryls who are experts in crafting all manner of gadgets and elixirs, often using these tools to brave the wilds hoping to uncover ancient curiosities.
One of the best starting classes to have in a larger party, he has a wide array of abilities that affect enemies or can help allies. His summons can also take some heat away from allies when the situation requires it.

Strengths:
- Decent Ranged Abiltiies
- Effective Healer
- Wide range of options

Weaknesses:
- Very fragile
- Weaker in smaller teams
- Relatively low damage output"
Tinkerer_DESCRIPTION,"Tinkerers are Quatryls who are experts in crafting all manner of gadgets and elixirs, often using these tools to brave the wilds hoping to uncover ancient curiosities."
Toadmoor,Toadmoor
TrainerDialogName,Trainer
Trap,Trap
Tutorial1,Tutorial 1
Tutorial1Desc,Tutorial 1 Description
Tutorial_1_HelpText_001,"Select ""Provoking Roar"""
Tutorial_1_HelpText_002,"Select ""Grab and Go"""
Tutorial_1_HelpText_003,Click End Selection to continue
Tutorial_1_HelpText_005,"Select the bottom half of ""Grab and Go"""
Tutorial_1_HelpText_006,Move to the hex adjacent to the Bandit Guard
Tutorial_1_HelpText_007,"Either click the hex again to confirm the move, or click the Confirm Movement button"
Tutorial_1_HelpText_008,"Select top half of ""Provoking Roar"""
Tutorial_1_HelpText_008b,Select the Bandit Guard as the target for the attack
Tutorial_1_HelpText_009,"Either click the Bandit Guard to confirm the attack, or click the Confirm Targets button"
Tutorial_1_HelpText_011,"Select ""Long Rest"""
Tutorial_1_HelpText_012,Click End Selection to continue
Tutorial_1_HelpText_013b,"Click ""Burn Leaping Cleave"" to continue"
Tutorial_1_HelpText_014,"Select ""Spare Dagger"""
Tutorial_1_HelpText_015,"Select ""Grab and Go"""
Tutorial_1_HelpText_016,Click End Selection to continue
Tutorial_1_HelpText_018a,Move into the doorway to open the door
Tutorial_1_HelpText_018b,"Either click the hex again to confirm the move, or click the Open Door button"
Tutorial_1_HelpText_019a,Move to the highlighted hex
Tutorial_1_HelpText_019b,"Either click the hex again to confirm the move, or click the Confirm Movement button"
Tutorial_1_HelpText_020,"Select the top half of ""Spare Dagger"""
Tutorial_1_HelpText_021,Select the Bandit Guard as the target for the attack
Tutorial_1_HelpText_022,"Either click the Bandit Guard to confirm the attack, or click the Confirm Targets button"
Tutorial_1_HelpText_026,"Select ""Provoking Roar"""
Tutorial_1_HelpText_027,"Select ""Sweeping Blow"""
Tutorial_1_HelpText_028,Click End Selection to continue
Tutorial_1_HelpText_029,"Select the top half of ""Provoking Roar"""
Tutorial_1_HelpText_030,Select the Bandit Archer as the target for the attack
Tutorial_1_HelpText_031,"Either click the Bandit Archer to confirm the attack, or click the Confirm Targets button"
Tutorial_1_HelpText_032a,"Select the bottom half of ""Sweeping Blow"""
Tutorial_1_HelpText_032b,Move to the highlighted hex
Tutorial_1_HelpText_032c,"Either click the hex again to confirm the move, or click the Confirm Movement button"
Tutorial_1_HelpText_033,Skip the remaining movement
Tutorial_1_HelpText_034a,Select the Bandit Archer as the target for the push
Tutorial_1_HelpText_034b,Select the hex containing the trap to push the Bandit Archer into
Tutorial_1_HelpText_035a,"Either click the hex again to confirm the push, or click the Confirm Push button"
Tutorial_1_HelpText_036a,"Select ""Long Rest"""
Tutorial_1_HelpText_036b,Click End Selection to continue
Tutorial_1_HelpText_037a,"Choose ""Provoking Roar"" as the card to burn"
Tutorial_1_HelpText_037b,"Click ""Burn Provoking Roar"" to continue"
Tutorial_1_HelpText_038,"Select ""Spare Dagger"""
Tutorial_1_HelpText_039,"Select ""Grab and Go"""
Tutorial_1_HelpText_040,Click End Selection to continue
Tutorial_1_HelpText_041,"Select the bottom half of ""Grab and Go"""
Tutorial_1_HelpText_042a,Move into the doorway to open the door
Tutorial_1_HelpText_042b,"Either click the hex again to confirm the move, or click the Open Door button"
Tutorial_1_HelpText_043a,Move to the highlighted hex
Tutorial_1_HelpText_043b,"Either click the hex again to confirm the move, or click the Confirm Movement button"
Tutorial_1_HelpText_044,"Click the default attack button of ""Spare Dagger"""
Tutorial_1_HelpText_045a,Select the Bandit Guard as the target for the attack
Tutorial_1_HelpText_045b,"Either click the Bandit Guard to confirm the attack, or click the Confirm Targets button"
Tutorial_1_HelpText_046a,"Select the bottom half of ""Rumbling Advance"""
Tutorial_1_HelpText_046b,"Select the ""Boots of Striding"" from the inventory"
Tutorial_1_HelpText_047,Move to the highlighted hex
Tutorial_1_HelpText_048a,"Either click the hex again to confirm the move, or click the Confirm Movement button"
Tutorial_1_HelpText_048b,Click Confirm Action to continue
Tutorial_1_HelpText_050a,"Select the top half of ""Avalanche"""
Tutorial_1_HelpText_050b,Select both Bandit Guards as targets to be attacked
Tutorial_1_HelpText_051,"Either click the left Bandit Guard to confirm the attack, or click the Confirm Targets button"
Tutorial_1_HelpText_052,"Select ""Burn 1 available card"""
Tutorial_1_HelpText_053a,"Select ""Crushing Grasp"""
Tutorial_1_HelpText_053b,"Click ""Burn Crushing Grasp"" to continue"
Tutorial_1_HelpText_054,Choose to take the damage
Tutorial_1_HelpText_055,"Choose to ""Short Rest"""
Tutorial_1_HelpText_057,"Burn ""Grab and Go"""
Tutorial_1_HelpText_058,"Select ""Spare Dagger"""
Tutorial_1_HelpText_059,"Select ""Sweeping Blow"""
Tutorial_1_HelpText_060,"Switch to the Cragheart by either clicking him directly, his symbol above the ability cards, or his portrait in the initiative tracker"
Tutorial_1_HelpText_061,"Select ""Explosive Punch"""
Tutorial_1_HelpText_062,"Select ""Crater"""
Tutorial_1_HelpText_063,Click End Selection to continue
Tutorial_1_HelpText_064,"Select the top half of ""Sweeping Blow"""
Tutorial_1_HelpText_065a,Select the Bandit Guard as the target for the attack
Tutorial_1_HelpText_065b,"Either click the Bandit Guard to confirm the attack, or click the Confirm Targets button"
Tutorial_1_HelpText_066a,Move to the hex containing the chest
Tutorial_1_HelpText_066b,"Either click the hex again to confirm the move, or click the Confirm Movement button"
Tutorial_1_HelpText_067,"Select the bottom half of ""Explosive Punch"""
Tutorial_1_HelpText_068a,Move to the highlighted hex
Tutorial_1_HelpText_068b,"Either click the hex again to confirm the move, or click the Confirm Movement button"
Tutorial_1_HelpText_068c,Skip the remaining movement
Tutorial_1_HelpText_069a,"Toggle on the Consume Earth augmentation on the top half of ""Crater"""
Tutorial_1_HelpText_069b,"Select the top half of ""Crater"" (taking care not to toggle off the consume)"
Tutorial_1_HelpText_070a,Select the Bandit Guard as the target for the attack
Tutorial_1_HelpText_070b,"Either click the Bandit Guard to confirm the attack, or click the Confirm Targets button"
Tutorial_1_HelpText_071a,Select the hex containing the trap to push the Bandit Guard into
Tutorial_1_HelpText_071b,"Either click the hex again to confirm the push, or click the Confirm Push button"
Tutorial_1_TextBox_001a,"It was supposed to be an easy job; track the bandits to their lair, sneak inside, grab any loot and get out sharpish.

It's unclear exactly when it all went wrong - perhaps it was the Cragheart smashing the entrance open loudly with his fists, or the Brute ramming a Bandit Guard's face into a wall to stifle his attempts at alerting the others..."
Tutorial_1_TextBox_001b,"Split up from the Cragheart after fighting through hordes of bandits, the Brute finds his way into a disused storeroom and hunkers down, trying to get his breath back."
Tutorial_1_TextBox_001c,"Suddenly the door at the other end of the room swings open...

""Well, well, well, what do we have here then?"""
Tutorial_1_TextBox_001d,"It looks like the Brute is going to have to fight his way out of here.

In Gloomhaven, the first thing you do each round is to pick two <b>ability cards</b> for characters to use on their turn.

Since the Brute needs to get across the room to deal with this Bandit Guard, you'll need to select a card that lets you move at least four hexes, and a card with an attack to try and take this Guard down."
Tutorial_1_TextBox_001e,"You can look through your cards by mousing over them in the list on the left - <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr> and <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> are the only ones you currently have available but should get the job done nicely.

Note that the first card you select will also set your initiative for the round - the lower the number the earlier in the round the character will act, so choose <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr> first to go early here."
Tutorial_1_TextBox_002a,"Enemies draw their ability cards each round after the player, so you don't know what they'll be doing or what their initiatives will be until this point in each round.

It looks as if this guy was planning on shielding himself and retaliating, but because you chose to act quickly with an initiative of <b>10</b>, he won't have those active until after the Brute's turn due to his slower initiative of <b>15</b>!"
Tutorial_1_TextBox_003a,"Now it is time to act. Each half of a card represents an <b>action</b>, comprised of one or more <b>abilities</b>.

You get to use two actions per turn, and you can pick any of the four card halves on the left to use as your first action - but note that you must then use the opposite side of the other card for your second action."
Tutorial_1_TextBox_003b,"In other words, here you can choose either the top half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr> and the bottom half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr>..."
Tutorial_1_TextBox_003c,...or the bottom half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr> and the top half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr>.
Tutorial_1_TextBox_003d,"Now, as the Bandit Guard is on the other side of the room, let's choose the bottom half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> and get over there!"
Tutorial_1_TextBox_004a,"Do you see how <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> has become all grey and smoky? This is to show you that <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> has been discarded, now that you have used one of its actions.

This means that you can't use it again until you recover it back to your hand - more on that later."
Tutorial_1_TextBox_004b,"The Brute is up close and personal with the Bandit Guard now, so it's time to give him a taste of your steel. Hit him with the top half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr>!"
Tutorial_1_TextBox_005a,"Every attack you make draws an attack modifier from your modifier deck and that value is applied to your attack.

In this case you can see above the Bandit Guard that you drew a <b><color=#FFA414>+1</color></b>, so that makes <b>2</b> from <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Provoking Roar</color></font></b></nobr>, plus <b>1</b> from the attack modifier, thus dealing a total of <b>3</b> damage. Bosh!"
Tutorial_1_TextBox_005b,Nicely done! You can hover over the crossed swords icon to the left of your ability cards to see what attack modifiers you have left. Let's do so now.
Tutorial_1_TextBox_006a,"While mousing over this icon, you can see how many of each of the seven base attack modifier card types there are in your deck.

Each modifier value has a number of filled in or greyed out pips below to indicate how many of that modifier are still left and discarded respectively.

Whenever you draw a <b><color=#A050E0>x0</color></b> or <b><color=#D92727>x2</color></b> modifier, the modifier deck will shuffle the discarded cards back in."
Tutorial_1_TextBox_006b,"By the way, do you see that gold on the floor that the bandit left behind? To pick it up, you need to perform a Loot action. These can appear on an ability card with a number indicating the radius around you that you loot."
Tutorial_1_TextBox_006c,"However, if a player character ends their turn on gold or a chest, they will loot that hex for free.

Perhaps you will get some gold out of this escapade after all, if these Bandits don't kill you first..."
Tutorial_1_TextBox_006d,"One last thing before moving on to the next round - throughout this tutorial you'll notice that the camera moves to focus on the action. You too can move the camera around using the following controls:

<b>W A S D</b> - Pan camera
<line-height=20%>
<line-height=100%><b>Q E</b> - Rotate camera left/right
<line-height=20%>
<line-height=100%><b>Mousewheel Up/Down</b> - Zoom camera in/out

You can also rotate the camera by dragging your mouse with the middle mouse button held."
Tutorial_1_TextBox_006e,"Nothing left to do now but end the Brute's turn and get onto the next round!

Use the button below to do so."
Tutorial_1_TextBox_007a,"Right, back to the matter of getting out of here!

The Brute is looking a little worse for wear, and with no monsters in the current room, now is a good time to rest and get some energy back - or rather, some cards."
Tutorial_1_TextBox_007b,"During ability card selection, if you have at least two discarded cards then you may perform a Long or Short Rest to recover some of them.

All of the Brute's ability cards are currently discarded (Long Rest doesn't count as a card) and as such he will have to rest to continue."
Tutorial_1_TextBox_007c,"Short Rest will burn one of your discarded cards at random, losing it for the rest of the scenario, but will recover all other discarded cards before continuing your turn as normal - so you can recover cards to use immediately in this very turn."
Tutorial_1_TextBox_007d,"Long Rest takes up the whole turn, and is used instead of selecting two ability cards, giving the character an initiative of <b>99</b>. However, you not only get to choose which card to burn instead of it being at random, but the character will perform a ""<b>Heal 2</b>"" action and refresh all item cards!

Doing that in the midst of enemies tends to be a risky move, but with no enemies in here right now let's have the Brute go for a nice Long Rest."
Tutorial_1_TextBox_008a,"Time to choose a card to lose, which is never an easy choice. <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> may look weak, but the mobility it offers could be important. For now let's just burn <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Leaping Cleave</color></font></b></nobr>."
Tutorial_1_TextBox_009a,"One of the most important tactical moments when exploring dungeons is when to open doors.

When a door is opened, all enemies in the next room are immediately added to the initiative track and will act this round! You do get to finish the current character's turn however, even if an enemy with lower initiative is revealed."
Tutorial_1_TextBox_009b,"With that in mind, you'll want to look carefully through the cards available to you to see what your options are. You can hold down the <b>Alt</b> key to see the current character's full hand of cards all at once to assist with decision making during card selection. Feel free to try this now before clicking Continue."
Tutorial_1_TextBox_009c,"In this scenario, let's choose <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Spare Dagger</color></font></b></nobr> and <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr>.

We can open the door using <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr>'s bottom half, move to safety with the remaining move points and hopefully be in range to throw a <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Spare Dagger</color></font></b></nobr> at any nearby enemies!"
Tutorial_1_TextBox_010a,Select the bottom half of <nobr><b><font=MarcellusAlt SDF><color=#f5e3b0>Grab and Go</color></font></b></nobr> and let's see what is on the other side of that doorway!
Tutorial_1_TextBox_011a,"What a surprise, more bad guys! Before doing anything else, let's check out what these enemies are doing this turn by either hovering over their portraits or the figures themselves.

Lets start with the Bandit Archer."
Tutorial_1_TextBox_011b,"Just a ranged attack planned from the Archer, no moving - good to know.

Let's look at the Bandit Guard now."
Tutorial_1_TextBox_011c,"The Guard intends to move and attack, but he will only be able to move a single hex.

Now that we know what the enemy is up to, we can make informed decisions about how best to finish the remainder of the Brute's turn."
